2025-08-13 14:06:00,008 - INFO - Starting to scrape 1 properties
2025-08-13 14:07:23,034 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC4888D950>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.195/element
2025-08-13 14:07:27,086 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF7450>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.195/element
2025-08-13 14:07:31,128 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF46D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.195/element
2025-08-13 14:07:39,244 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF7910>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.196/element
2025-08-13 14:07:43,299 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF6F50>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.196/element
2025-08-13 14:07:47,368 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF6650>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.196/element
2025-08-13 14:07:55,500 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE0C10>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.197/element
2025-08-13 14:07:59,557 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF65D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.197/element
2025-08-13 14:08:03,615 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF62D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.197/element
2025-08-13 14:08:11,731 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF5750>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.198/element
2025-08-13 14:08:15,817 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AF45D0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.198/element
2025-08-13 14:08:19,881 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC480EB710>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.198/element
2025-08-13 14:08:27,991 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE0250>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.199/element
2025-08-13 14:08:32,057 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE1890>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.199/element
2025-08-13 14:08:36,123 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE2290>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.199/element
2025-08-13 14:08:44,311 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47AE3790>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.200/element
2025-08-13 14:08:48,373 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000001BC47B03CD0>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it')': /session/ad1db6d6a14b3243932a9149592d5866/element/f.37AEDC52CEC209BC23E89232C564F20B.d.F3CEC630121CD5A7F57E8156BF942BDB.e.200/element
